Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Dec  1 15:55 2013

Warning-[STASKW_RMRNA] Illegal entry
logTB.sv, 27
  Real numbers found at file log2Nums.txt line 1 while executing $readmem.
  Please ensure that only binary and hexadecimal numbers are used.

                   0 input = xxxxxxxx, logOutput = 00000000000000000000000000000000000000000000000000000000000000000, inverse =00000001, ref_input =08147236, ref_output=xxxxxxxx
                  10 input = 08147236, logOutput = 00000011011000000101000111001000110110000000000000000000000000000, inverse =08147236, ref_input =08147236, ref_output=xxxxxxxx
                  20 input = 09057919, logOutput = 00000011011001000001010111100100011001000000000000000000000000000, inverse =09057919, ref_input =09057919, ref_output=xxxxxxxx
                  30 input = 01269868, logOutput = 00000011000001001101001100001101000000000000000000000000000000000, inverse =01269868, ref_input =01269868, ref_output=xxxxxxxx
                  40 input = 09133758, logOutput = 00000011011001000100110011011101011000000000000000000000000000000, inverse =09133758, ref_input =09133758, ref_output=xxxxxxxx
                  50 input = 06323592, logOutput = 00000011010100011001000110101100100100000000000000000000000000000, inverse =06323592, ref_input =06323592, ref_output=xxxxxxxx
                  60 input = 00975404, logOutput = 00000010111001011101010100000001000000000000000000000000000000000, inverse =00975404, ref_input =00975404, ref_output=xxxxxxxx
                  70 input = 02784982, logOutput = 00000011001001111000010010011000001000000000000000000000000000000, inverse =02784982, ref_input =02784982, ref_output=xxxxxxxx
                  80 input = 05468815, logOutput = 00000011010010100011010001000000101010000000000000000000000000000, inverse =05468815, ref_input =05468815, ref_output=xxxxxxxx
                  90 input = 09575068, logOutput = 00000011011001010101110101000001101000000000000000000000000000000, inverse =09575068, ref_input =09575068, ref_output=xxxxxxxx
                 100 input = 09648885, logOutput = 00000011011001011001001000100010000101000000000000000000000000000, inverse =09648885, ref_input =09648885, ref_output=xxxxxxxx
                 110 input = 01576130, logOutput = 00000011000010101110110000100110000000000000000000000000000000000, inverse =01576130, ref_input =01576130, ref_output=xxxxxxxx
                 120 input = 09705927, logOutput = 00000011011001011100000101100100100111000000000000000000000000000, inverse =09705927, ref_input =09705927, ref_output=xxxxxxxx
                 130 input = 09571669, logOutput = 00000011011001010101110001011001101001000000000000000000000000000, inverse =09571669, ref_input =09571669, ref_output=xxxxxxxx
                 140 input = 04853756, logOutput = 00000011010001000010100110111010101100000000000000000000000000000, inverse =04853756, ref_input =04853756, ref_output=xxxxxxxx
                 150 input = 08002804, logOutput = 00000011011000000000000010100000000100000000000000000000000000000, inverse =08002804, ref_input =08002804, ref_output=xxxxxxxx
                 160 input = 01418863, logOutput = 00000011000010000011000100001100011000000000000000000000000000000, inverse =01418863, ref_input =01418863, ref_output=xxxxxxxx
                 170 input = 04217612, logOutput = 00000011010000010000101110110000100100000000000000000000000000000, inverse =04217612, ref_input =04217612, ref_output=xxxxxxxx
                 180 input = 09157355, logOutput = 00000011011001000101010111001101010101000000000000000000000000000, inverse =09157355, ref_input =09157355, ref_output=xxxxxxxx
                 190 input = 07922073, logOutput = 00000011010111001001000100000011100110000000000000000000000000000, inverse =07922073, ref_input =07922073, ref_output=xxxxxxxx
                 200 input = 09594924, logOutput = 00000011011001010110010100100100100100000000000000000000000000000, inverse =09594924, ref_input =09594924, ref_output=xxxxxxxx
                 210 input = 06557406, logOutput = 00000011010100101010101110100000001100000000000000000000000000000, inverse =06557406, ref_input =06557406, ref_output=xxxxxxxx
                 220 input = 00357116, logOutput = 00000010101101010111000100010110000000000000000000000000000000000, inverse =00357116, ref_input =00357116, ref_output=xxxxxxxx
                 230 input = 08491293, logOutput = 00000011011000010010010001001010010011000000000000000000000000000, inverse =08491293, ref_input =08491293, ref_output=xxxxxxxx
                 240 input = 09339932, logOutput = 00000011011001001100111001100100110010000000000000000000000000000, inverse =09339932, ref_input =09339932, ref_output=xxxxxxxx
                 250 input = 06787351, logOutput = 00000011010100111100001110011010100010000000000000000000000000000, inverse =06787351, ref_input =06787351, ref_output=xxxxxxxx
                 260 input = 07577401, logOutput = 00000011010110101011101110100000000010000000000000000000000000000, inverse =07577401, ref_input =07577401, ref_output=xxxxxxxx
                 270 input = 07431324, logOutput = 00000011010110100001100010011001001000000000000000000000000000000, inverse =07431324, ref_input =07431324, ref_output=xxxxxxxx
                 280 input = 03922270, logOutput = 00000011001110010010001000100111000000000000000000000000000000000, inverse =03922270, ref_input =03922270, ref_output=xxxxxxxx
                 290 input = 06554778, logOutput = 00000011010100101010101000111011110000000000000000000000000000000, inverse =06554778, ref_input =06554778, ref_output=xxxxxxxx
                 300 input = 01711866, logOutput = 00000011000011100010001100001100110000000000000000000000000000000, inverse =01711866, ref_input =01711866, ref_output=xxxxxxxx
                 310 input = 07060460, logOutput = 00000011010110000011000000100011000000000000000000000000000000000, inverse =07060460, ref_input =07060460, ref_output=xxxxxxxx
                 320 input = 00318328, logOutput = 00000010101100011000001100101000000000000000000000000000000000000, inverse =00318328, ref_input =00318328, ref_output=xxxxxxxx
                 330 input = 02769229, logOutput = 00000011001001110110100100100010100100000000000000000000000000000, inverse =02769229, ref_input =02769229, ref_output=xxxxxxxx
                 340 input = 00461713, logOutput = 00000010110000110000101110001001100000000000000000000000000000000, inverse =00461713, ref_input =00461713, ref_output=xxxxxxxx
                 350 input = 00971317, logOutput = 00000010111001011100010011000101110000000000000000000000000000000, inverse =00971317, ref_input =00971317, ref_output=xxxxxxxx
                 360 input = 08234578, logOutput = 00000011011000001000110100010101111000000000000000000000000000000, inverse =08234578, ref_input =08234578, ref_output=xxxxxxxx
                 370 input = 06948286, logOutput = 00000011010101001010010000010100001100000000000000000000000000000, inverse =06948286, ref_input =06948286, ref_output=xxxxxxxx
                 380 input = 03170994, logOutput = 00000011001100010111000010011001010000000000000000000000000000000, inverse =03170994, ref_input =03170994, ref_output=xxxxxxxx
                 390 input = 09502220, logOutput = 00000011011001010100000010001000100000000000000000000000000000000, inverse =09502220, ref_input =09502220, ref_output=xxxxxxxx
                 400 input = 00344460, logOutput = 00000010101101000100010001100000000000000000000000000000000000000, inverse =00344460, ref_input =00344460, ref_output=xxxxxxxx
                 410 input = 04387443, logOutput = 00000011010000011100001110100010000110000000000000000000000000000, inverse =04387443, ref_input =04387443, ref_output=xxxxxxxx
                 420 input = 03815584, logOutput = 00000011001110000001010101011000010000000000000000000000000000000, inverse =03815584, ref_input =03815584, ref_output=xxxxxxxx
                 430 input = 07655167, logOutput = 00000011010110110010101010001011001110000000000000000000000000000, inverse =07655167, ref_input =07655167, ref_output=xxxxxxxx
                 440 input = 07951999, logOutput = 00000011010111001010100011001100110010000000000000000000000000000, inverse =07951999, ref_input =07951999, ref_output=xxxxxxxx
                 450 input = 01868726, logOutput = 00000011000100001101000011100100110000000000000000000000000000000, inverse =01868726, ref_input =01868726, ref_output=xxxxxxxx
                 460 input = 04897643, logOutput = 00000011010001000100101110110010000110000000000000000000000000000, inverse =04897643, ref_input =04897643, ref_output=xxxxxxxx
                 470 input = 04455862, logOutput = 00000011010000100010101011000011000100000000000000000000000000000, inverse =04455862, ref_input =04455862, ref_output=xxxxxxxx
                 480 input = 06463130, logOutput = 00000011010100100011000110001001100000000000000000000000000000000, inverse =06463130, ref_input =06463130, ref_output=xxxxxxxx
                 490 input = 07093648, logOutput = 00000011010110000100100110110010010000000000000000000000000000000, inverse =07093648, ref_input =07093648, ref_output=xxxxxxxx
                 500 input = 07546866, logOutput = 00000011010110101010001101000011001100000000000000000000000000000, inverse =07546866, ref_input =07546866, ref_output=xxxxxxxx
                 510 input = 02760250, logOutput = 00000011001001110110000000100101000000000000000000000000000000000, inverse =02760250, ref_input =02760250, ref_output=xxxxxxxx
                 520 input = 06797026, logOutput = 00000011010100111100101110000001001100000000000000000000000000000, inverse =06797026, ref_input =06797026, ref_output=xxxxxxxx
